shlok_number,shlok_text
101,ਐਸਾ ਨਾਮੁ ਿਨਰੰਜਨੁ ਹੋਇ ॥
102,ਜੇ ਕੋ ਮਿੰ ਨ ਜਾਣੈ ਮਿਨ ਕਇੋ ॥
103,੧੨ ॥
104,ਮੰਨੈ ਸੁਰਿਤ ਹੋਵੈ ਮਿਨ ਬੁਿਧ ॥
105,ਮਨੰ ੈ ਸਗਲ ਭਵਣ ਕੀ ਸੁਿਧ ॥
106,ਮਨੰ ੈ ਮੁਿਹ ਚੋਟਾ ਨਾ ਖਾਇ ॥
107,ਮਨੰ ੈ ਜਮ ਕੈ ਸਾਿਥ ਨ ਜਾਇ ॥
108,ਐਸਾ ਨਾਮੁ ਿਨਰਜੰ ਨੁ ਹੋਇ ॥
109,ਜੇ ਕੋ ਮਿੰ ਨ ਜਾਣੈ ਮਿਨ ਕਇੋ ॥
110,੧੩ ॥
111,ਮੰਨੈ ਮਾਰਿਗ ਠਾਕ ਨ ਪਾਇ ॥
112,ਮਨੰ ੈ ਪਿਤ ਿਸਉ ਪਰਗਟੁ ਜਾਇ ॥
113,ਮਨੰ ੈ ਮਗੁ ਨ ਚਲੈ ਪੰਥੁ ॥
114,ਮੰਨੈ ਧਰਮ ਸੇਤੀ ਸਨਬਧੰ ੁ ॥
115,ਐਸਾ ਨਾਮੁ ਿਨਰੰਜਨੁ ਹੋਇ ॥
116,ਜੇ ਕੋ ਮੰਿਨ ਜਾਣੈ ਮਿਨ ਕੋਇ ॥
117,੧੪ ॥
118,ਮੰਨੈ ਪਾਵਿਹ ਮਖੋ ੁ ਦੁਆਰ ੁ ॥
119,ਮੰਨੈ ਪਰਵਾਰੈ ਸਾਧਾਰ ੁ ॥
120,ਮਨੰ ੈ ਤਰੈ ਤਾਰੇ ਗੁਰ ੁ ਿਸਖ ॥
121,ਮੰਨੈ ਨਾਨਕ ਭਵਿਹ ਨ ਿਭਖ ॥
122,ਐਸਾ ਨਾਮੁ ਿਨਰੰਜਨੁ ਹੋਇ ॥
123,ਜੇ ਕੋ ਮੰਿਨ ਜਾਣ ੈ ਮਿਨ ਕਇੋ ॥
124,੧੫ ॥
125,ਪੰਚ ਪਰਵਾਣ ਪੰਚ ਪਰਧਾਨੁ ॥
126,ਪੰਚੇ ਪਾਵਿਹ ਦਰਗਿਹ ਮਾਨੁ ॥
127,ਪੰਚੇ ਸੋਹਿਹ ਦਿਰ ਰਾਜਾਨੁ ॥
128,ਪੰਚਾ ਕਾ ਗੁਰ ੁ ਏਕੁ ਿਧਆਨੁ ॥
129,ਜੇ ਕੋ ਕਹੈ ਕਰੈ ਵੀਚਾਰ ੁ ॥
130,ਕਰਤੇ ਕੈ ਕਰਣੈ ਨਾਹੀ ਸੁਮਾਰ ੁ ॥
131,ਧਲੌ ੁ ਧਰਮੁ ਦਇਆ ਕਾ ਪੂਤੁ ॥
132,ਸੰਤਖੋ ੁ ਥਾਿਪ ਰਿਖਆ ਿਜਿਨ ਸੂਿਤ ॥
133,ਜੇ ਕੋ ਬੁਝੈ ਹੋਵੈ ਸਿਚਆਰ ॥
134,ੁ ਧਵਲੈ ਉਪਿਰ ਕੇਤਾ ਭਾਰ ॥
135,ੁ ਧਰਤੀ ਹਰੋ ੁ ਪਰੈ ਹੋਰ ੁ ਹੋਰ ॥
136,ੁ ਿਤਸ ਤੇ ਭਾਰ ੁ ਤਲੈ ਕਵਣੁ ਜੋਰ ੁ ॥
137,ਜੀਅ ਜਾਿਤ ਰਗੰ ਾ ਕੇ ਨਾਵ ॥
138,ਸਭਨਾ ਿਲਿਖਆ ਵੜੁ ੀ ਕਲਾਮ ॥
139,ਏਹ ੁ ਲੇਖਾ ਿਲਿਖ ਜਾਣੈ ਕਇੋ ॥
140,ਲੇਖਾ ਿਲਿਖਆ ਕੇਤਾ ਹੋਇ ॥
141,ਕੇਤਾ ਤਾਣੁ ਸੁਆਿਲਹ ੁ ਰਪੂ ੁ ॥
142,ਕੇਤੀ ਦਾਿਤ ਜਾਣੈ ਕੌਣੁ ਕੂਤੁ ॥
143,ਕੀਤਾ ਪਸਾਉ ਏਕੋ ਕਵਾਉ ॥
144,ਿਤਸ ਤੇ ਹਏੋ ਲਖ ਦਰੀਆਉ ॥
145,ਕੁਦਰਿਤ ਕਵਣ ਕਹਾ ਵੀਚਾਰ ੁ ॥
146,ਵਾਿਰਆ ਨ ਜਾਵਾ ਏਕ ਵਾਰ ॥
147,ਜੋ ਤੁਧੁ ਭਾਵੈ ਸਾਈ ਭਲੀ ਕਾਰ ॥
148,ਤੂ ਸਦਾ ਸਲਾਮਿਤ ਿਨਰਕੰ ਾਰ ॥
149,੧੬ ॥
150,ਅਸੰਖ ਜਪ ਅਸਖੰ ਭਾਉ ॥
151,ਅਸੰਖ ਪੂਜਾ ਅਸੰਖ ਤਪ ਤਾਉ ॥
152,ਅਸਖੰ ਗਰੰਥ ਮੁਿਖ ਵੇਦ ਪਾਠ ॥
153,ਅਸਖੰ ਜੋਗ ਮਿਨ ਰਹਿਹ 4 ਉਦਾਸ ॥
154,ਅਸੰਖ ਭਗਤ ਗੁਣ ਿਗਆਨ ਵੀਚਾਰ ॥
155,ਅਸੰਖ ਸਤੀ ਅਸੰਖ ਦਾਤਾਰ ॥
156,ਅਸੰਖ ਸੂਰ ਮੁਹ ਭਖ ਸਾਰ ॥
157,ਅਸੰਖ ਮਿੋ ਨ ਿਲਵ ਲਾਇ ਤਾਰ ॥
158,ਕੁਦਰਿਤ ਕਵਣ ਕਹਾ ਵੀਚਾਰ ੁ ॥
159,ਵਾਿਰਆ ਨ ਜਾਵਾ ਏਕ ਵਾਰ ॥
160,ਜੋ ਤੁਧੁ ਭਾਵੈ ਸਾਈ ਭਲੀ ਕਾਰ ॥
161,ਤੂ ਸਦਾ ਸਲਾਮਿਤ ਿਨਰਕੰ ਾਰ ॥
162,੧੭ ॥
163,ਅਸੰਖ ਮੂਰਖ ਅੰਧ ਘਰੋ ॥
164,ਅਸੰਖ ਚੋਰ ਹਰਾਮਖੋਰ ॥
165,ਅਸੰਖ ਅਮਰ ਕਿਰ ਜਾਿਹ ਜੋਰ ॥
166,ਅਸੰਖ ਗਲਵਢ ਹਿਤਆ ਕਮਾਿਹ ॥
167,ਅਸੰਖ ਪਾਪੀ ਪਾਪੁ ਕਿਰ ਜਾਿਹ ॥
168,ਅਸੰਖ ਕੂਿੜਆਰ ਕੂੜੇ ਿਫਰਾਿਹ ॥
169,ਅਸਖੰ ਮਲੇਛ ਮਲੁ ਭਿਖ ਖਾਿਹ ॥
170,ਅਸੰਖ ਿਨੰਦਕ ਿਸਿਰ ਕਰਿਹ ਭਾਰ ੁ ॥
171,ਨਾਨਕੁ ਨੀਚੁ ਕਹੈ ਵੀਚਾਰ ੁ ॥
172,ਵਾਿਰਆ ਨ ਜਾਵਾ ਏਕ ਵਾਰ ॥
173,ਜੋ ਤੁਧੁ ਭਾਵੈ ਸਾਈ ਭਲੀ ਕਾਰ ॥
174,ਤੂ ਸਦਾ ਸਲਾਮਿਤ ਿਨਰਕੰ ਾਰ ॥
175,੧੮ ॥
176,ਅਸਖੰ ਨਾਵ ਅਸੰਖ ਥਾਵ ॥
177,ਅਗੰਮ ਅਗੰਮ ਅਸਖੰ ਲਅੋ ॥
178,ਅਸੰਖ ਕਹਿਹ ਿਸਿਰ ਭਾਰ ੁ ਹੋਇ ॥
179,ਅਖਰੀ ਨਾਮੁ ਅਖਰੀ ਸਾਲਾਹ ॥
